BHID,LANDUSE,UserInput_CN2,Area.ha.Input.std,SWATCalc_CN2,LULC,FIMP,FPervious,BHCalcCN2,QA_Does_SWATCalc_Match_BHCalc
1855,URML,61,4.17,69.23,BERM,0.275,0.725,69.23,TRUE
1856,URML,61,6.25,69.23,BERM,0.275,0.725,69.23,TRUE
1857,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1858,URML,61,1.51,69.23,BERM,0.275,0.725,69.23,TRUE
1859,URML,61,3.31,69.23,BERM,0.275,0.725,69.23,TRUE
1860,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1861,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
1862,URML,61,2.08,69.23,BERM,0.275,0.725,69.23,TRUE
1863,URML,61,1.89,69.23,BERM,0.275,0.725,69.23,TRUE
1864,URML,61,2.65,69.23,BERM,0.275,0.725,69.23,TRUE
1865,URML,61,5.59,69.23,BERM,0.275,0.725,69.23,TRUE
1866,URML,61,0.85,69.23,BERM,0.275,0.725,69.23,TRUE
1867,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1868,URML,61,0.28,69.23,BERM,0.275,0.725,69.23,TRUE
1869,URML,61,0.57,69.23,BERM,0.275,0.725,69.23,TRUE
1870,URML,61,0.47,69.23,BERM,0.275,0.725,69.23,TRUE
1871,URML,61,0.38,69.23,BERM,0.275,0.725,69.23,TRUE
1872,URML,61,2.27,69.23,BERM,0.275,0.725,69.23,TRUE
1873,URML,61,1.42,69.23,BERM,0.275,0.725,69.23,TRUE
1874,URML,80,0.09,84,BERM,0.275,0.725,84,TRUE
1875,URML,61,0.19,69.23,BERM,0.275,0.725,69.23,TRUE
1876,URML,61,0.85,69.23,BERM,0.275,0.725,69.23,TRUE
1877,URML,61,1.42,69.23,BERM,0.275,0.725,69.23,TRUE
1878,URML,61,0.66,69.23,BERM,0.275,0.725,69.23,TRUE
1879,URML,61,3.79,69.23,BERM,0.275,0.725,69.23,TRUE
1880,URML,61,3.22,69.23,BERM,0.275,0.725,69.23,TRUE
1881,URML,61,0.47,69.23,BERM,0.275,0.725,69.23,TRUE
1882,URML,74,0.19,79.34,BERM,0.275,0.725,79.34,TRUE
1883,URML,74,0.28,79.34,BERM,0.275,0.725,79.34,TRUE
1884,URML,74,0.38,79.34,BERM,0.275,0.725,79.34,TRUE
1885,URML,74,0.19,79.34,BERM,0.275,0.725,79.34,TRUE
1886,URML,74,0.38,79.34,BERM,0.275,0.725,79.34,TRUE
1887,URML,74,0.19,79.34,BERM,0.275,0.725,79.34,TRUE
1888,URML,74,0.09,79.34,BERM,0.275,0.725,79.34,TRUE
1889,URML,74,0.38,79.34,BERM,0.275,0.725,79.34,TRUE
1890,URML,74,0.09,79.34,BERM,0.275,0.725,79.34,TRUE
1891,URML,74,0.38,79.34,BERM,0.275,0.725,79.34,TRUE
1892,URML,74,0.28,79.34,BERM,0.275,0.725,79.34,TRUE
1893,FRST,77,0.85,77,FRST,0,1,77,TRUE
1894,FRST,77,2.37,77,FRST,0,1,77,TRUE
1895,FRST,55,0.47,55,FRST,0,1,55,TRUE
1896,FRST,55,0.19,55,FRST,0,1,55,TRUE
1897,FRST,55,2.37,55,FRST,0,1,55,TRUE
1898,FRST,55,0.76,55,FRST,0,1,55,TRUE
