,Sub,HRU1,Area.ha.Input.std,Slope,SlpLgth.m.,Ovrlnd_N,CondII_CN,TimeConc.hr.,ESCO,EPCO,sub,HRU2,input.std.area.ha,LULC,Sub.1,HRU3,Area_ha,SoilName,Hydgrp,MaxRtDpth_mm,Albedo,USLE_K,USLE_P,USLE_LS,ProfileAWC_mm,IniSoilH2O_mm,CheckPart1VsPart2,CheckPart1VsPart3,AreaTimesSWATCN2
15452,38,15452,0.46,0.125,24.39,0.1,79.34,0.178,0.91,0.57,38,15452,0.46,BERM,38,15452,0.46,Paxton,C,1650,0.3,0.32,1,1.73,280.5,176.092,TRUE,TRUE,36.4964
15453,38,15453,5.2,0.079,60.98,0.1,79.34,0.359,0.91,0.57,38,15453,5.2,BERM,38,15453,5.2,Paxton,C,1650,0.3,0.32,1,1.47,280.5,176.092,TRUE,TRUE,412.568
15454,38,15454,0.09,0.042,91.46,0.1,79.34,0.543,0.91,0.57,38,15454,0.09,BERM,38,15454,0.09,Paxton,C,1650,0.3,0.32,1,0.72,280.5,176.092,TRUE,TRUE,7.1406
15455,38,15455,1.02,0.052,60.98,0.1,79.34,0.401,0.91,0.57,38,15455,1.02,BERM,38,15455,1.02,Woodbridge,C,1650,0.16,0,1,0.8,280.5,176.092,TRUE,TRUE,80.9268
15456,38,15456,11.7,0.025,91.46,0.1,79.34,0.648,0.91,0.57,38,15456,11.7,BERM,38,15456,11.7,Woodbridge,C,1650,0.16,0,1,0.36,280.5,176.092,TRUE,TRUE,928.278
15457,38,15457,6.97,0.03,91.46,0.1,79.34,0.609,0.91,0.57,38,15457,6.97,BERM,38,15457,6.97,Woodbridge,C,1650,0.16,0,1,0.46,280.5,176.092,TRUE,TRUE,552.9998
15458,38,15458,2.14,0.059,60.98,0.1,79.34,0.388,0.91,0.57,38,15458,2.14,BERM,38,15458,2.14,Woodbridge,C,1650,0.16,0,1,0.96,280.5,176.092,TRUE,TRUE,169.7876
15459,38,15459,0.37,0.052,60.98,0.1,79.34,0.4,0.91,0.57,38,15459,0.37,BERM,38,15459,0.37,Woodbridge,C,1650,0.16,0,1,0.8,280.5,176.092,TRUE,TRUE,29.3558
15460,38,15460,3.16,0.027,91.46,0.1,79.34,0.624,0.91,0.57,38,15460,3.16,BERM,38,15460,3.16,Woodbridge,C,1650,0.16,0,1,0.4,280.5,176.092,TRUE,TRUE,250.7144
15461,38,15461,0.56,0.073,60.98,0.1,79.34,0.362,0.91,0.57,38,15461,0.56,BERM,38,15461,0.56,Scituate,C,1650,0.23,0.32,1,1.31,280.5,176.092,TRUE,TRUE,44.4304
