index,flow_cms,date,day,month,year
307,2.47488832,37896,2,10,2003
308,2.46922496,37897,3,10,2003
309,2.72407616,37898,4,10,2003
310,2.79486816,37899,5,10,2003
311,2.56833376,37900,6,10,2003
312,2.3927696,37901,7,10,2003
313,1.90005728,37902,8,10,2003
314,1.97368096,37903,9,10,2003
315,1.96518592,37904,10,10,2003
316,2.00766112,37905,11,10,2003
317,2.83168,37906,12,10,2003
318,3.7661344,37907,13,10,2003
319,3.1997984,37908,14,10,2003
320,6.5694976,37909,15,10,2003
321,6.3429632,37910,16,10,2003
322,6.512864,37911,17,10,2003
323,6.3429632,37912,18,10,2003
324,6.229696,37913,19,10,2003
325,6.0597952,37914,20,10,2003
326,5.9182112,37915,21,10,2003
327,5.521776,37916,22,10,2003
328,5.1536576,37917,23,10,2003
329,4.813856,37918,24,10,2003
330,4.7289056,37919,25,10,2003
331,4.7855392,37920,26,10,2003
332,6.3146464,37921,27,10,2003
333,7.2774176,37922,28,10,2003
334,13.1106784,37923,29,10,2003
335,13.6770144,37924,30,10,2003
336,12.5443424,37925,31,10,2003
337,13.3938464,37926,1,11,2003
338,14.1867168,37927,2,11,2003
339,15.0362208,37928,3,11,2003
340,14.4132512,37929,4,11,2003
341,14.2150336,37930,5,11,2003
342,14.4132512,37931,6,11,2003
343,13.308896,37932,7,11,2003
344,11.7797888,37933,8,11,2003
345,10.9869184,37934,9,11,2003
346,10.3922656,37935,10,11,2003
347,9.8542464,37936,11,11,2003
348,8.49504,37937,12,11,2003
349,6.512864,37938,13,11,2003
350,6.3429632,37939,14,11,2003
351,6.229696,37940,15,11,2003
352,6.088112,37941,16,11,2003
353,5.9182112,37942,17,11,2003
354,5.7766272,37943,18,11,2003
355,5.6916768,37944,19,11,2003
356,5.946528,37945,20,11,2003
357,8.211872,37946,21,11,2003
358,8.1269216,37947,22,11,2003
359,7.8437536,37948,23,11,2003
360,7.5889024,37949,24,11,2003
361,7.0508832,37950,25,11,2003
362,6.9942496,37951,26,11,2003
363,6.7393984,37952,27,11,2003
364,6.796032,37953,28,11,2003
365,7.8720704,37954,29,11,2003
366,7.3906848,37955,30,11,2003
367,9.7126624,38139,1,6,2004
368,9.627712,38140,2,6,2004
369,8.8914752,38141,3,6,2004
370,8.6083072,38142,4,6,2004
371,8.49504,38143,5,6,2004
372,8.0419712,38144,6,6,2004
373,7.8154368,38145,7,6,2004
374,7.5322688,38146,8,6,2004
375,7.1075168,38147,9,6,2004
376,6.9659328,38148,10,6,2004
377,6.229696,38149,11,6,2004
378,5.7199936,38150,12,6,2004
379,5.3235584,38151,13,6,2004
380,5.0403904,38152,14,6,2004
381,4.7855392,38153,15,6,2004
382,4.4457376,38154,16,6,2004
383,4.0493024,38155,17,6,2004
384,3.8794016,38156,18,6,2004
385,3.4829664,38157,19,6,2004
386,3.114848,38158,20,6,2004
387,3.0015808,38159,21,6,2004
388,2.8599968,38160,22,6,2004
389,2.68443264,38161,23,6,2004
390,2.54568032,38162,24,6,2004
391,2.3786112,38163,25,6,2004
392,2.7467296,38164,26,6,2004
393,3.114848,38165,27,6,2004
394,3.4829664,38166,28,6,2004
395,3.6528672,38167,29,6,2004
396,3.4546496,38168,30,6,2004
397,3.0865312,38169,1,7,2004
398,3.3130656,38170,2,7,2004
399,2.9449472,38171,3,7,2004
400,3.0015808,38172,4,7,2004
401,3.9926688,38173,5,7,2004
402,5.1536576,38174,6,7,2004
403,5.3518752,38175,7,7,2004
404,5.6916768,38176,8,7,2004
405,5.5500928,38177,9,7,2004
406,5.0120736,38178,10,7,2004
407,4.3607872,38179,11,7,2004
408,3.7095008,38180,12,7,2004
409,3.2281152,38181,13,7,2004
410,3.2281152,38182,14,7,2004
411,3.0865312,38183,15,7,2004
412,2.973264,38184,16,7,2004
